Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0278,33.20041077861106,Invalid
TST-0006,19.161225623115833,Valid
TST-0047,57.9103915420514,Valid
TST-0311,25.83241689459516,Valid
TST-0264,22.366011579177876,Invalid
TST-0169,19.51381855660641,Valid
TST-0269,18.108613036345485,Valid
TST-0178,16.167575256024346,Invalid
TST-0206,31.66218216671986,Valid
TST-0038,18.27963197556403,Valid
TST-0213,14.13885552042448,Invalid
TST-0309,16.277345293147736,Valid
TST-0059,33.423820588258906,Valid
TST-0159,18.202558833392583,Valid
TST-0235,19.824884915392257,Valid
TST-0230,21.519533420996023,Valid
TST-0323,39.103791801156355,Valid
TST-0262,18.869928521967864,Valid
TST-0274,14.061032157400474,Valid
TST-0214,47.669233570167385,Valid
TST-0024,40.14883108421875,Valid
TST-0234,17.768861845388315,Valid
TST-0333,22.009183683430095,Valid
TST-0060,19.76305754186902,Valid
TST-0226,35.24393421585434,Valid
TST-0197,16.250663674755348,Valid
TST-0346,42.87296770005033,Valid
TST-0192,25.095711781628722,Valid
TST-0141,29.42219510700881,Valid
TST-0222,37.290349328157404,Invalid
TST-0232,19.501063987236456,Valid
TST-0085,23.431535033451823,Valid
TST-0237,32.80171235096004,Valid
TST-0001,39.575853376981335,Valid
TST-0069,16.49464149517664,Valid
TST-0272,23.14230062289476,Valid
TST-0343,33.38499113862203,Valid
TST-0320,27.36281781675659,Valid
TST-0008,32.472377173299265,Invalid
TST-0144,22.87431391689357,Valid
TST-0184,21.99315961734676,Valid
TST-0107,57.381989712146726,Valid
TST-0026,41.47024508129607,Valid
TST-0164,42.159648305256695,Valid
TST-0217,33.00740885864741,Valid
TST-0332,27.893971909207757,Invalid
TST-0279,24.071573123439393,Valid
TST-0243,18.627719238404207,Valid
TST-0163,20.65718103989024,Valid
TST-0131,30.286117951863897,Valid
TST-0070,16.616007578310043,Valid
TST-0137,18.14753282352125,Valid
TST-0210,29.14341125982451,Valid
TST-0288,21.148066387211617,Valid
TST-0248,18.478509646195764,Valid
TST-0277,22.8586810956369,Valid
TST-0215,21.789282592651166,Valid
TST-0138,16.836947152837357,Valid
TST-0228,17.358382913655962,Valid
TST-0252,50.07378066800451,Valid
TST-0205,29.50305875880432,Valid
TST-0348,22.95275095029518,Valid
TST-0177,22.493724683626453,Valid
TST-0267,37.9419211508826,Valid
TST-0308,22.864393043054083,Valid
TST-0087,43.1872939365433,Invalid
TST-0117,17.23598077563902,Valid
TST-0014,18.04335297406003,Valid
TST-0154,23.111209418063037,Valid
TST-0207,47.91505726341269,Valid
TST-0187,21.24884207071714,Valid
TST-0236,21.432996616353055,Valid
TST-0283,37.58309422786614,Invalid
TST-0089,18.229106578260343,Valid
TST-0202,23.23374078552264,Valid
TST-0160,18.424181247764242,Valid
TST-0036,26.973537300401958,Valid
TST-0275,46.40047180522563,Invalid
TST-0023,33.80084066454444,Valid
TST-0091,42.42986298476356,Valid
TST-0151,44.163429485435714,Valid
TST-0310,22.541179899550755,Valid
TST-0239,15.111887214241293,Valid
TST-0331,32.72107827959847,Valid
TST-0316,13.614308316332009,Invalid
TST-0338,14.101671812517202,Valid
TST-0019,20.18378297289196,Valid
TST-0168,16.790848573475394,Invalid
TST-0007,18.26622685965652,Valid
TST-0211,33.21428372343157,Valid
TST-0016,36.0000292117892,Valid
TST-0027,21.02640840007192,Invalid
TST-0031,19.081539845969665,Invalid
TST-0249,28.57680169895329,Valid
TST-0011,16.396960137747637,Valid
TST-0080,23.224558762232082,Valid
TST-0121,16.41874523920968,Valid
TST-0266,19.6832162601401,Valid
TST-0198,21.275582656073745,Valid
TST-0067,30.995102211214423,Valid
TST-0102,21.653101320267233,Valid
TST-0005,37.6546717899444,Valid
TST-0003,30.36332634567214,Valid
TST-0132,42.572829196141015,Valid
TST-0029,27.012648734823166,Valid
TST-0221,27.98266404541086,Valid
TST-0099,17.70329169833529,Valid
TST-0062,17.11794161169903,Valid
TST-0095,26.30378973934536,Valid
TST-0126,17.125543664114268,Valid
TST-0034,50.2380438039313,Valid
TST-0103,16.123748529207703,Valid
TST-0245,23.424648175800478,Valid
TST-0058,49.52594432499452,Valid
TST-0065,25.984667858458636,Valid
TST-0086,19.524677096235326,Valid
TST-0342,20.6195513422023,Valid
TST-0335,17.668135599705177,Valid
TST-0180,18.42553734270494,Invalid
TST-0294,28.630219201725986,Invalid
TST-0072,20.665520775930695,Valid
TST-0315,48.09682903278718,Valid
TST-0182,47.007278106489004,Valid
TST-0200,21.694936691129804,Valid
TST-0030,16.676727668124116,Valid
TST-0193,16.513678206276747,Valid
TST-0231,21.023212760390276,Valid
TST-0128,25.520522137555226,Valid
TST-0165,28.283199975387635,Valid
TST-0074,13.459451460036904,Valid
TST-0004,34.11771224571491,Valid
TST-0157,23.776440007246418,Valid
TST-0143,26.839582205516752,Valid
TST-0179,41.164232930538034,Valid
TST-0075,26.692418097020226,Valid
TST-0233,25.533697785685842,Valid
TST-0111,26.428209984540427,Valid
TST-0350,21.261303484482937,Valid
TST-0122,17.229563536748092,Valid
TST-0076,22.182782757095975,Valid
TST-0304,26.169843412720944,Valid
TST-0190,28.000471662165573,Valid
TST-0061,16.899482429609794,Valid
TST-0009,28.56247376918473,Valid
TST-0194,44.08955330454705,Valid
TST-0156,21.03832607189939,Invalid
TST-0088,32.77328060582617,Valid
TST-0256,47.0901451896946,Valid
TST-0329,16.82894324734355,Valid
TST-0219,42.40450553695902,Valid
TST-0306,13.54808308761302,Valid
TST-0324,22.65828482351459,Valid
TST-0113,21.653614900399663,Valid
TST-0135,15.997185125988683,Valid
TST-0339,17.913069011460202,Valid
TST-0260,23.12994075420782,Valid
TST-0195,25.055429850473327,Valid
TST-0286,29.322284824378315,Valid
TST-0015,26.38888872184572,Valid
TST-0263,19.9705499390639,Valid
TST-0147,24.11427911848711,Valid
TST-0002,23.28515915663577,Invalid
TST-0114,46.95768210310246,Valid
TST-0271,24.50399199456899,Invalid
TST-0223,21.733154558640305,Valid
TST-0344,16.15238546019823,Valid
TST-0183,31.262139707263113,Valid
TST-0327,33.220979709739396,Valid
TST-0250,21.45988153191115,Invalid
TST-0185,38.41172445897357,Valid
TST-0242,21.46298568177012,Valid
TST-0158,13.131142022608463,Valid
TST-0078,44.91278003382249,Valid
TST-0120,20.387849703812925,Invalid
TST-0093,30.208750238606232,Valid
TST-0051,15.999655557951714,Valid
TST-0010,16.031273153367557,Valid
TST-0013,51.42952780395942,Valid
TST-0049,15.044913669838804,Valid
TST-0041,17.399496420502533,Valid
TST-0055,32.56832345367627,Valid
TST-0012,20.174454397453022,Valid
TST-0127,48.76566087504489,Valid
TST-0225,26.280823695486664,Valid
TST-0050,21.61570299128614,Valid
TST-0172,32.15034057774904,Invalid
TST-0079,32.64479672356781,Valid
TST-0046,22.235218623727246,Valid
TST-0325,18.31221470881683,Valid
TST-0280,20.62348746280977,Valid
TST-0140,15.181718621481735,Valid
TST-0244,48.09682903278718,Valid
TST-0203,21.111580919401426,Valid
TST-0238,19.060862291727357,Valid
TST-0092,29.311861321424974,Valid
TST-0307,13.418709678791172,Valid
TST-0176,28.515867529532038,Valid
TST-0115,17.537849459812946,Invalid
TST-0028,15.631251595286162,Invalid
TST-0317,19.003354145342154,Valid
TST-0251,38.51196719544003,Valid
TST-0301,14.69517940864083,Valid
TST-0116,38.033381155232966,Valid
TST-0056,24.49781504860458,Valid
TST-0166,28.710705211038665,Valid
TST-0247,32.74492765153889,Valid
TST-0291,27.537280571905107,Valid
TST-0167,26.65025981591153,Invalid
TST-0313,47.990204128878126,Valid
TST-0105,13.92243127497752,Valid
TST-0104,20.796760951324202,Valid
TST-0045,35.73369203885172,Valid
TST-0289,43.3544399856451,Valid
TST-0048,26.68084978415047,Valid
TST-0110,18.343137299973428,Valid
TST-0037,45.632931029635614,Valid
TST-0305,18.727326170637212,Valid
TST-0240,31.717094615673954,Valid
TST-0155,33.352350639688076,Valid
TST-0119,52.87637306828402,Valid
TST-0295,23.40337225836517,Valid
TST-0229,18.160606227144804,Valid
TST-0106,21.32198364054926,Valid
TST-0052,15.780787497069493,Valid
TST-0276,22.49303612712435,Invalid
TST-0216,22.038366769727716,Valid
TST-0208,19.971495163411127,Valid
TST-0188,22.237179500126015,Valid
TST-0145,49.23782150426628,Valid
TST-0039,21.610168054306296,Valid
TST-0173,18.45020173679454,Valid
TST-0082,20.37183371331026,Valid
TST-0296,36.943374923524495,Valid
TST-0297,35.114093475271055,Valid
TST-0125,17.94168161561723,Valid
TST-0199,20.951297678143945,Invalid
TST-0330,21.78142377989805,Valid
TST-0133,36.14345000499472,Valid
TST-0175,32.29777810437681,Valid
TST-0270,46.09611105783845,Valid
TST-0255,16.831151346966703,Valid
TST-0025,13.55935238551241,Valid
TST-0073,13.949165581660845,Valid
TST-0077,20.65072288505118,Valid
TST-0293,14.36975390966303,Valid
TST-0212,29.71039673294565,Invalid
TST-0081,14.103455255771143,Valid
TST-0328,20.012794215446835,Valid
TST-0290,45.50232451880567,Invalid
TST-0337,16.885421970883634,Valid
TST-0171,24.63903988438304,Valid
TST-0057,29.227740691072803,Valid
TST-0284,19.36258636739299,Valid
TST-0063,28.234723018742674,Invalid
TST-0022,20.67486596443776,Valid
TST-0044,17.407795263183214,Valid
TST-0035,24.311847248918113,Valid
TST-0258,41.365279292015856,Invalid
TST-0334,27.35075119967537,Valid
TST-0018,28.661777120361922,Valid
TST-0321,21.57414811163714,Valid
TST-0282,14.71931251719877,Valid
TST-0142,43.43367192927326,Invalid
TST-0312,23.325990881362934,Valid
TST-0101,23.42897382498037,Valid
TST-0134,22.658730135417215,Invalid
TST-0287,32.5323966766373,Valid
TST-0153,34.21681282516153,Valid
TST-0299,29.122733852791807,Valid
TST-0204,23.224558762232082,Valid
TST-0090,19.658095720799913,Valid
TST-0186,33.244713435542835,Valid
TST-0209,51.82915298280507,Valid
TST-0130,20.982997148618487,Valid
TST-0224,23.842364480131028,Valid
TST-0302,27.070957002664187,Valid
TST-0118,15.204539439220662,Valid
TST-0292,20.326177734806414,Valid
TST-0345,22.8586810956369,Valid
TST-0108,20.65461203808998,Valid
TST-0071,15.523149536716549,Valid
TST-0053,16.18391224862904,Valid
TST-0273,17.2161852614357,Valid
TST-0300,14.985351164403063,Valid
TST-0148,19.353576654355837,Valid
TST-0347,39.417977374707355,Valid
TST-0146,28.283199975387635,Valid
TST-0241,18.319411564790133,Valid
TST-0096,16.38366682398031,Valid
TST-0220,22.715114066249868,Valid
TST-0174,22.214057307819306,Valid
TST-0246,15.059572396629537,Valid
TST-0136,18.80597070483944,Valid
TST-0109,22.044209366667022,Valid
TST-0040,38.79001935690127,Valid
TST-0043,22.020401701566886,Invalid
TST-0181,36.38066387000993,Valid
TST-0268,17.32756609183659,Valid
TST-0253,16.267074876375446,Valid
TST-0017,26.407294572330382,Valid
TST-0201,22.773197770111736,Valid
TST-0129,16.605823811253753,Valid
TST-0068,48.62709999824865,Valid
TST-0161,14.43697908894508,Valid
TST-0298,22.996052755613608,Invalid
TST-0094,42.633769438832346,Valid
TST-0336,30.323879632240576,Invalid
TST-0149,20.68592063348325,Valid
TST-0191,46.09422561497444,Valid
TST-0032,18.42857177372023,Valid
TST-0054,16.423785050697266,Valid
TST-0349,57.80655462885905,Valid
TST-0100,17.972317337477584,Valid
TST-0162,19.29487800449039,Valid
TST-0326,22.58234889502695,Invalid
